# Reference: https://www.itu.int/dms_pub/itu-t/oth/02/02/T02020000DC0001PDFE.pdf
# Reference Date: 09/06/2006
G|2|Abu Dhabi Region|2010000-2990000,3010000-3990000,4010000-4990000,5010000-5990000,6010000-6990000,7010000-7990000,8010000-8990000|
G|3|Al Ain Region|2010000-2990000,3010000-3990000,4010000-4990000,5010000-5990000,6010000-6990000,7010000-7990000,8010000-8990000|
G|4|Dubai Region|2010000-2990000,3010000-3990000,4010000-4990000,5010000-5990000,6010000-6990000,7010000-7990000,8010000-8990000|
G|6|West Coast Region (Sharjah, Ajman and Umm Al-Qaiwain)|2010000-2990000,3010000-3990000,4010000-4990000,5010000-5990000,6010000-6990000,7010000-7990000,8010000-8990000|
G|7|Ras Al Khaimah Region|2010000-2990000,3010000-3990000,4010000-4990000,5010000-5990000,6010000-6990000,7010000-7990000,8010000-8990000|
G|9|East Coast Region (Fujairah)|2010000-2990000,3010000-3990000,4010000-4990000,5010000-5990000,6010000-6990000,7010000-7990000,8010000-8990000|
M|50,52,55,56||0000000-9999999|
N|400,600||000000-999999|
N|700||000000-999999|S
N|800||00-999999999|F
N|900||000000-099999,200000-299999|R
