# References:
# - https://www.itu.int/dms_pub/itu-t/oth/02/02/T02020000020002PDFE.pdf
N|||41000000-46999999|
N|||22200000-22999999,23200000-23999999,24200000-24999999,25200000-25999999,27200000-27999999,28200000-28999999,29200000-29999999|
N|||32200000-32999999,33200000-33999999,34200000-34999999,35200000-35999999,37200000-37999999,38200000-38999999,39200000-39999999|
N|||42200000-42999999,43200000-43999999,44200000-44999999,45200000-45999999,47200000-47999999,48200000-48999999,49200000-49999999|
N|||52200000-52999999,53200000-53999999,54200000-54999999,55200000-55999999,57200000-57999999,58200000-58999999,59200000-59999999|
M|||62200000-69999999|
M|||70020000-70099999|V
N|||7171000-7179999|
N|||8000000-8009999|F
N|||801000-801999|
N|||808000-808999|
N|||9000000-9009999|R
N|||82200000-82999999,83200000-83999999,84200000-84999999,85200000-85999999,87200000-87999999,88200000-88999999,89200000-89999999|
