M|12-19,21-22,24,27-28,31-35,37-38,41-49,51-55,61-69,71,73-75,77,79,81-89,91-99||700000000-799999999,900000000-999999999|
G|11-19|São Paulo|20000000-59999999|
G|21-22,24|Rio de Janeiro|20000000-59999999|
G|27-28|Espirito Santo|20000000-59999999|
G|31-35,37-38|Minas Gerais|20000000-59999999|
G|41-46|Paraná|20000000-59999999|
G|47-49|Santa Catarina|20000000-59999999|
G|51-55|Rio Grande do Sul|20000000-59999999|
G|61|Distrito Federal|20000000-59999999|
G|62,64|Goiás|20000000-59999999|
G|63|Tocantins|20000000-59999999|
G|65-66|Mato Grosso|20000000-59999999|
G|67|Mato Grosso do Sul|20000000-59999999|
G|68|Acre|20000000-59999999|
G|69|Rondônia|20000000-59999999|
G|71,73-75,77|Bahia|20000000-59999999|
G|79|Sergipe|20000000-59999999|
G|81,89|Pernambuco|20000000-59999999|
G|82|Alagoas|20000000-59999999|
G|83|Paraiba|20000000-59999999|
G|84|Rio Grande do Norte|20000000-59999999|
G|85,88|Ceará|20000000-59999999|
G|86,87|Piauí|20000000-59999999|
G|91,93-94|Pará|20000000-59999999|
G|92,97|Amazonas|20000000-59999999|
G|95|Roraima|20000000-59999999|
G|96|Amapá|20000000-59999999|
G|98-99|Maranhão|20000000-59999999|
N|300,303-304,500,801||0000000-9999999|
N|800||0000000-9999999|F
N|900||0000000-9999999|R
