M|15050,15080,15555,15630,15678,15888||000000-999999|
M|1511-1512,1514-1517,1520-1523,1525-1526,1529,1570,1573,1575,1577-1579,1590||0000000-9999999|
M|160||0000000-99999999|
M|162-163||0000000-9999999|
M|164||0-9999999999|P
M|168-169||0-99999999999|P
M|170-175,177-179||0000000-9999999|
M|176||00000000-99999999|
G|201|Essen|000-99999999|
G|202|Wuppertal|000-99999999|
G|203|Duisburg|000-99999999|
G|2041|Bottrop|00-9999999|
G|2043|Gladbeck|00-9999999|
G|2045|Bottrop-Kirchhellen|00-9999999|
G|2051|Velbert|00-9999999|
G|2052|Velbert-Langenberg|00-9999999|
G|2053|Velbert-Neviges|00-9999999|
G|2054|Essen-Kettwig|00-9999999|
G|2056|Heiligenhaus|00-9999999|
G|2058|Wülfrath|00-9999999|
G|2064|Dinslaken|00-9999999|
G|2065|Duisburg-Rheinhausen|00-9999999|
G|2066|Duisburg-Homberg|00-9999999|
G|208|Oberhausen Rheinland|000-99999999|
G|209|Gelsenkirchen|000-99999999|
G|2102|Ratingen|00-9999999|
G|2103|Hilden|00-9999999|
G|2104|Mettmann|00-9999999|
G|211|Düsseldorf|000-99999999|
G|212|Solingen|000-89999999|
G|2129|Haan Rheinland|00-9999999|
G|2131|Neuss|00-9999999|
G|2132|Meerbusch-Büderich|00-9999999|
G|2133|Dormagen|00-9999999|
G|2137|Neuss-Norf|00-9999999|
G|214|Leverkusen|000-99999999|
G|2150|Meerbusch-Lank|00-9999999|
G|2151|Krefeld|00-9999999|
G|2152|Kempen|00-9999999|
G|2153|Nettetal-Lobberich|00-9999999|
G|2154|Willich|00-9999999|
G|2156|Willich-Anrath|00-9999999|
G|2157|Nettetal-Kaldenkirchen|00-9999999|
G|2158|Grefrath bei Krefeld|00-9999999|
G|2159|Meerbusch-Osterath|00-9999999|
G|2161|Mönchengladbach|00-9999999|
G|2162|Viersen|00-9999999|
G|2163|Schwalmtal Niederrhein|00-9999999|
G|2164|Jüchen-Otzenrath|00-9999999|
G|2165|Jüchen|00-9999999|
G|2166|Mönchengladbach-Rheydt|00-9999999|
G|2171|Leverkusen-Opladen|00-9999999|
G|2173|Langenfeld Rheinland|00-9999999|
G|2174|Burscheid Rheinland|00-9999999|
G|2175|Leichlingen Rheinland|00-9999999|
G|2181|Grevenbroich|00-9999999|
G|2182|Grevenbroich-Kapellen|00-9999999|
G|2183|Rommerskirchen|00-9999999|
G|2191|Remscheid|00-9999999|
G|2192|Hückeswagen|00-9999999|
G|2193|Dabringhausen|00-9999999|
G|2195|Radevormwald|00-9999999|
G|2196|Wermelskirchen|00-9999999|
G|2202|Bergisch Gladbach|00-9999999|
G|2203|Köln-Porz|00-9999999|
G|2204|Bensberg|00-9999999|
G|2205|Rösrath|00-9999999|
G|2206|Overath|00-9999999|
G|2207|Kürten-Dürscheid|00-9999999|
G|2208|Niederkassel|00-9999999|
G|221|Köln|000-99999999|
G|2222|Bornheim Rheinland|00-9999999|
G|2223|Königswinter|00-9999999|
G|2224|Bad Honnef|00-9999999|
G|2225|Meckenheim Rheinland|00-9999999|
G|2226|Rheinbach|00-9999999|
G|2227|Bornheim-Merten|00-9999999|
G|2228|Remagen-Rolandseck|00-9999999|
G|2232|Brühl Rheinland|00-9999999|
G|2233|Hürth Rheinland|00-9999999|
G|2234|Frechen|00-9999999|
G|2235|Erftstadt|00-9999999|
G|2236|Wesseling Rheinland|00-9999999|
G|2237|Kerpen Rheinland-Türnich|00-9999999|
G|2238|Pulheim|00-9999999|
G|2241|Siegburg|00-9999999|
G|2242|Hennef Sieg|00-9999999|
G|2243|Eitorf|00-9999999|
G|2244|Königswinter-Oberpleis|00-9999999|
G|2245|Much|00-9999999|
G|2246|Lohmar Rheinland|00-9999999|
G|2247|Neunkirchen-Seelscheid|00-9999999|
G|2248|Hennef-Uckerath|00-9999999|
G|2251|Euskirchen|00-9999999|
