# Reference: https://www.itu.int/dms_pub/itu-t/oth/02/02/T020200003E0004PDFE.pdf
# Reference Date: 10/09/2017
M|10-12,15||00000000-99999999|
G|13|Elqalubia|0000000-9999999|
G|2|Cairo|00000000-99999999|
G|3|Alexandria|0000000-9999999|
G|40|Elgharbia|0000000-9999999|
G|45|Elbehera|0000000-9999999|
G|46|Mersa Matrouh|0000000-9999999|
G|47|Kafr el-Sheikh|0000000-9999999|
G|48|El Menufia|0000000-9999999|
G|50|El Dakahlia|0000000-9999999|
G|55|10th of Ramadan|0000000-9999999|
G|57|Damietta|000000-9999999|
G|62|ElSuez|0000000-9999999|
G|64|Ismailia|0000000-9999999|
G|65|El Red Sea|0000000-9999999|
G|66|Port Said|0000000-9999999|
G|68|North Sinai|0000000-9999999|
G|69|South Sinai|0000000-9999999|
G|82|Beni Suef|0000000-9999999|
G|84|Elfayoum|0000000-9999999|
G|86|Elminia|0000000-9999999|
G|88|Assiut|0000000-9999999|
G|92|El wadi El Gadeed|0000000-9999999|
G|93|Souhag|0000000-9999999|
G|95|Luxor|0000000-9999999|
G|96|Quena|0000000-9999999|
G|97|Aswan|0000000-9999999|
N|707,770||00000-99999|F
N|800||00000000-99999999|F
N|900||000000-999999|R
