M|600-699,710-799||000000-999999|
M|700||000000-999999|V
N|800,900||000000-999999|F
N|803,806-807,901-902,905,907-909||000000-999999|
G|810|Madrid|030000-040999,060000-060999,081000-090999,100000-101999,200000-200999,222000-222999,300000-300999,400000-400999,444000-444999,500000-500999,510000-516999,520000-529999,582000-583999,600000-600999,625000-625999,650000-650999,700000-700999,800000-800999,803000-811999,820000-833999,900000-900999,910000-910999|
G|820|Ávila|000000-000999,028000-028999,052000-052999,080000-080999|
G|821|Segovia|000000-000999,021000-021999,030000-030999,080000-080999|
G|822|Santa Cruz de Tenerife|000000-159999,170000-259999,280000-309999,320000-349999,410000-411999,422000-422999,430000-430999,444000-444999,457000-457999,461000-461999,480000-480999,600000-629999,640000-649999,660000-669999,680000-729999,770000-779999,900000-909999,920000-949999,970000-979999,990000-999999|
G|823|Salamanca|000000-000999,023000-023999,030000-031999,080000-080999|
G|824|Badajoz|024000-025999,034000-034999,050000-050999,060000-060999,080000-080999,600000-669999,680000-689999,880000-919999,950000-959999,990000-999999|
G|825|Toledo|000000-001999,025000-025999,030000-030999,045000-045999,080000-080999,700000-739999,750000-759999,820000-829999,850000-859999,930000-979999,990000-999999|
G|826|Ciudad Real|000000-001999,026000-026999,060000-060999,080000-080999|
G|827|Cáceres|000000-001999,027000-027999,060000-060999,080000-080999|
G|828|Palmas, Las|000000-200999,228000-228999,230000-230999,240000-240999,244000-244999,250000-250999,280000-280999,282000-282999,600000-629999,660000-739999,780000-789999,800000-839999,880000-889999,900000-919999,980000-999999|
G|830|Barcelona|000000-010999,030000-040999,070000-070999,100000-100999,200000-200999,300000-300999,400000-400999,500000-500999,508000-508999,550000-550999,581000-581999,600000-600999,625000-625999,700000-700999,800000-800999,810000-810999,820000-820999,830000-833999,840000-840999,900000-900999,930000-930999|
G|841|Rioja, La|000000-000999,005000-005999,030000-030999,040000-041999,060000-060999,080000-080999|
G|842|Cantabria|000000-000999,030000-030999,040000-040999,042000-042999,060000-060999,800000-869999,920000-929999,940000-949999,990000-999999|
G|843|Gipuzkoa|023000-023999,030000-030999,043000-043999,070000-070999,600000-749999,840000-849999,900000-919999,930000-939999,980000-999999|
G|845|Álava|001000-001999,030000-030999,045000-045999,070000-070999,080000-080999|
G|846|Bizkaia|030000-030999,040000-040999,046000-046999,080000-080999,084000-084999,090000-090999,600000-629999,640000-649999,660000-669999|
G|847|Burgos|030000-031999,047000-047999,080000-081999,084000-085999|
G|848|Navarra|000000-001999,030000-031999,040000-041999,048000-048999,080000-080999,400000-499999,600000-699999,800000-829999,840000-859999,870000-889999,900000-909999,940000-949999,980000-999999|
G|849|Guadalajara|000000-000999,049000-050999,060000-060999,080000-080999|
G|850|Almería|000000-000999,051000-051999,058000-058999,080000-080999,900000-929999,950000-959999,970000-999999|
G|851|Málaga|000000-001999,030000-030999,040000-040999,063000-063999,066000-066999,080000-080999,111000-111999,140000-140999,151000-151999,900000-929999,950000-969999|
G|853|Jaén|000000-000999,023000-023999,040000-040999,052000-052999,054000-054999,080000-080999,800000-859999,870000-899999|
G|854|Sevilla|000000-001999,024000-024999,030000-031999,040000-040999,060000-060999,080000-080999,500000-629999,640000-669999,680000-689999,700000-779999,800000-809999,830000-859999,880000-889999,900000-909999,940000-959999,990000-999999|
G|856|Cádiz|000000-289999,300000-399999,401000-401999,430000-430999,480000-480999,490000-490999,500000-629999,650000-669999,800000-839999,850000-869999,890000-929999,940000-959999,990000-999999|
G|857|Córdoba|000000-001999,030000-031999,057000-057999,070000-070999,080000-080999,600000-659999,670000-679999,700000-709999,750000-759999,770000-779999,800000-839999,850000-899999,950000-959999,990000-999999|
G|858|Granada|000000-000999,028000-028999,030000-030999,070000-070999,080000-080999,100000-189999,200000-209999,220000-229999,280000-289999,600000-609999,660000-669999,680000-719999,770000-779999,800000-839999,850000-869999,880000-919999,940000-959999,980000-999999|
