# References:
# - https://www.fjarskiptastofa.is/english/telecom-affairs/numbering/
N|||352000000-352999999|M
M|||358000000-358999999,388000000-389999999|
G||Excluding Reykjavík and Capital Region|4100000-4129999,4140000-4169999,4190000-4279999,4300000-4389999,4400000-4429999,4440000-4459999,4480000-4489999,4500000-4539999,4550000-4569999,4580000-4589999,4600000-4789999,4810000-4839999,4860000-4889999,4920000-4969999,4970000-4979999,4990000-4999999|
G||Reykjavík and Capital Region|5050000-5059999,5100000-5179999,5190000-5209999,5220000-5229999,5250000-5259999,5270000-5289999,5300000-5359999,5370000-5379999,5390000-5409999,5430000-5479999,5500000-5729999,5750000-5759999,5770000-5789999,5800000-5839999,5850000-5919999,5930000-5969999,5980000-5999999|
M|||6110000-6189999,6200000-6269999,6300000-6309999,6320000-6329999,6360000-6419999,6440000-6449999,6460000-6479999,6490000-6519999,6550000-6559999,6590000-6669999,6690000-6709999,6800000-6809999,6860000-6999999|
N|||7500000-7509999,7550000-7559999,7570000-7579999|
M|||7600000-7939999|
N|||8010000-8099999|
N|||8000000-8009999|F
M|||8200000-8259999,8290000-8689999,8820000-8839999,8880000-8889999,8900000-8999999|
N|||8780000-8809999|
N|||9000000-9009999,9015000-9017000,9019000-9021999,9025000-9027999,9029000-9029999,9031000-9031999,9033000-9033999,9035000-9037000,9040000-9042000,0944000-9047000,9052000-9057000,9059000-9059999,9071000-9073999,9077000-9077999,9080000-9083999,9085000-9087999|R
N|||9090000-9099999,9540000-9549999,9580000-9589999|
