# Reference: https://www.itu.int/dms_pub/itu-t/oth/02/02/T020200006E0008PDFE.pdf
# Reference Date: 23/06/2020
G|2|Mafraq|6600000-6609999,6620000-6639999|
G|2|Jarash|6700000-6709999,6720000-6739999|
G|2|Ajloun|6800000-6809999,6820000-6839999|
G|2|Irbid|6900000-6939999|
N|2||2010000-2069999,2090000-2099999,2110000-2139999,2150000-2179999,2200000-2209999,2240000-2279999,2300000-2399999,6200000-6239999,6250000-6359999,6370000-6389999,6420000-6429999,6440000-6479999,6500000-6529999,6540000-6589999,7010000-7079999,7200000-7219999,7240000-7279999,7300000-7369999,7380000-7419999,7490000-7539999,7550000-7559999,7570000-7589999|
G|3|Tafileh|2220000-2229999,2600000-2609999|
G|3|Aqaba|2400000-2439999|
G|3|Maan|2500000-2509999,2520000-2539999|
G|3|Karak|2700000-2709999,2720000-2739999|
G|5|Zarqa|3000000-3039999|
G|5|Madaba|3100000-3109999,3120000-3139999|
G|5|Balqa|3300000-3309999,3320000-3339999|
N|5||3200000-3259999,3290000-3299999,3490000-3539999,3550000-3599999,3610000-3619999,3650000-3659999,3740000-3759999,3810000-3869999,3900000-3939999,3960000-3999999|
N|6||2000000-2019999,2500000-2509999,3000000-3009999,4000000-4029999,4050000-4059999,4120000-4179999,4200000-4209999,4250000-4269999,4290000-4309999,4370000-4409999,4420000-4429999,4450000-4469999,4480000-4499999,4600000-4659999,4680000-4809999,4870000-4929999,5000000-5009999,5100000-5109999,5150000-5169999,5200000-5209999,5230000-5249999,5300000-5359999,5370000-5399999,5410000-5419999,5470000-5489999,5500000-5569999,5600000-5639999,5650000-5699999,5710000-5739999,5770000-5779999,5790000-5799999,5880000-5889999,5900000-5909999,5920000-5939999,5990000-5999999|
G|6|Amman|2220000-2229999,3330000-3339999|
M|7||46600000-46699999,47700000-47799999|P
M|7||70000000-72999999,75000000-82999999,85000000-92999999,95000000-99999999|
N|8||2000000-2009999,7000000-7009999,7200000-7209999,7700000-7709999,7780000-7789999,7900000-7909999,7990000-7999999|
N|8||5000000-5999999|S
N|9||0000000-9999999|R
