# References:
# - https://www.itu.int/dms_pub/itu-t/oth/02/02/T020200007D0002PDFE.pdf
# - https://assets.ilr.lu/telecom/Documents/ILRLU-1461723625-905.pdf
N|||20000000-20999999,23000000-24999999,26000000-28999999|
N|||2200-2299,22000-22999,220000-229999,2200000-2299999,22000000-22999999,220000000-229999999,2200000000-2299999999,22000000000-22999999999|
N|||2500-2599,25000-25999,250000-259999,2500000-2599999,25000000-25999999,250000000-259999999,2500000000-2599999999,25000000000-25999999999|
N|||2900-2999,29000-29999,290000-299999,2900000-2999999,29000000-29999999,290000000-299999999,2900000000-2999999999,29000000000-29999999999|
N|||3000-5999,30000-59999,300000-599999,3000000-5999999,30000000-59999999,300000000-599999999,3000000000-5999999999,30000000000-59999999999|
N|||7000-7999,70000-79999,700000-799999,7000000-7999999,70000000-79999999,700000000-799999999,7000000000-7999999999,70000000000-79999999999|
N|||8020-8999,80200-89999,802000-899999,8020000-8999999,80200000-89999999,802000000-899999999,8020000000-8999999999,80200000000-89999999999|
N|||9080-9099,90800-90999,908000-909999,9080000-9099999,90800000-90999999,908000000-909999999,9080000000-9099999999,90800000000-90999999999|
N|||9200-9599,92000-95999,920000-959999,9200000-9599999,92000000-95999999,920000000-959999999,9200000000-9599999999,92000000000-95999999999|
N|||9700-9799,97000-97999,970000-979999,9700000-9799999,97000000-97999999,970000000-979999999,9700000000-9799999999,97000000000-97999999999|
N|||9900-9999,99000-99999,990000-999999,9900000-9999999,99000000-99999999,990000000-999999999,9900000000-9999999999,99000000000-99999999999|
N|||600000000000-600299999999,602100000000-602199999999,606100000000-606199999999,606700000000-606799999999|M
M|||621000000-621999999,651000000-651999999,655000000-656999999,661000000-661999999,671000000-671999999,679000000-679999999,681000000-681999999,691000000-691999999|
N|||80000000-80199999|F
N|||90000000-90199999,90500000-90599999|R
N|||12000-12999,1300-1399|
