# Reference: https://www.mca.org.mt/sites/default/files/2024-09/154%20-%20September%2024%20Number%20Allocations.pdf via https://www.mca.org.mt/regulatory/numbering/numbering-plans
# Reference Date: 05/09/2024
N|||20100500-20100599,20102500-20102599,20104700-20104799,20105600-20105699,20106700-20106799,20108400-20108499,20109200-20109299,20109500-20109599,20110000-20189999,20310000-20349999,20602000-20602999,20605000-20605999,20650000-20659999,20690000-20699999,20900000-20999999|
N|||21210000-21269999,21310000-21389999,21410000-21499999,21520000-21529999,21550000-21589999,21620000-21699999,21720000-21749999,21800000-21809999,21820000-21829999,21860000-21869999,21880000-21899999|
N|||22000000-22119999,22150000-22169999,22190000-22209999,22220000-22279999,22290000-22299999,22350000-22359999,22400000-22409999,22440000-22459999,22470000-22509999,22560000-22569999,22580000-22589999,22600000-22609999,22620000-22629999,22640000-22659999,22690000-22819999,22890000-22999999|
N|||23100000-23249999,23260000-23349999,23380000-23579999,23590000-23649999,23660000-23890000,23910000-23999999|
N|||25220000-25229999,25400000-25709999,25760000-25799999,25900000-25999999|
N|||26000000-26099999|
N|||27000000-27999999|
M|||4000000000-4299999999|M
N|||50100000-50199999|
N|||50037000-50037999,50600000-50699999,50700000-50709999,50900000-50919999|R
N|||51002000-52002199,51003000-52003099,51004000-52004099,51006000-52006099|R
N|||54002000-54002199,54003000-54003099,54004000-54004099,54006000-54006099|R
M|||71170000-71179999|P
M|||72100000-72109999|
M|||77000000-77999999|
M|||79000000-79119999,79130000-79149999,79170000-79799999|
N|||80002000-80002999,80034000-80034999,80036000-80036999,80037000-80037999,80049000-80049999,80062000-80062999,80065000-80065999,80072000-80076999,80078000-80078999,80090000-80090999|F
M|||92100000-92119999,92310000-92319999|
M|||96960000-96969999|
M|||98110000-98139999,98890000-98899999,98970000-98979999|
M|||99000000-99999999|
