# Reference: https://www.itu.int/dms_pub/itu-t/oth/02/02/T020200009C0002PDFE.pdf
# Reference Date: 06/11/2023
M|700,710-729||0000000-9999999|V
M|701-706,708||0000000-9999999|
N|800||0000000-9999999|F
M|801-818||0000000-9999999|
M|901-909,911-916||0000000-9999999|
G|201|Lagos|2000000-9999999|
G|202|Ibadan|2000000-9999999|
G|209|Abuja|2000000-9999999|
G|2030|Ado-Ekiti|200000-999999|
G|2031|Ilorin|200000-999999|
G|2033|New Bussa|200000-999999|
G|2034|Akure|200000-999999|
G|2035|Osogbo|200000-999999|
G|2036|Ile-Ife|200000-999999|
G|2037|Ijebu Ode|200000-999999|
G|2038|Oyo|200000-999999|
G|2039|Abeokuta|200000-999999|
G|2041|Wukari|200000-999999|
G|2042|Nsukka-Enugu|200000-999999|
G|2043|Abakaliki|200000-999999|
G|2044|Makurdi|200000-999999|
G|2045|Ogoja|200000-999999|
G|2046|Onitsha|200000-999999|
G|2047|Lafia/Keffi|200000-999999|
G|2048|Awka|200000-999999|
G|2050|Ikare|200000-999999|
G|2052|Benin-City|200000-999999|
G|2053|Warri|200000-999999|
G|2054|Sapele|200000-999999|
G|2055|Agbor|200000-999999|
G|2056|Asaba|200000-999999|
G|2057|Auchi|200000-999999|
G|2058|Lokoja|200000-999999|
G|2059|Okitipupa|200000-999999|
G|2060|Sokoto|200000-999999|
G|2062|Kaduna|200000-999999|
G|2064|Kano|200000-999999|
G|2065|Katsina|200000-999999|
G|2066|Minna|200000-999999|
G|2068|Birnin-Kebbi|200000-999999|
G|2069|Zaria|200000-999999|
G|2071|Azare|200000-999999|
G|2072|Gombe|200000-999999|
G|2073|Jos|200000-999999|
G|2074|Damaturu|200000-999999|
G|2075|Yola|200000-999999|
G|2076|Maiduguri|200000-999999|
G|2077|Bauchi|200000-999999|
G|2079|Jalingo|200000-999999|
G|2082|Aba|200000-999999|
G|2083|Owerri|200000-999999|
G|2084|Port-Harcourt|200000-999999|
G|2085|Uyo|200000-999999|
G|2086|Ahoada|200000-999999|
G|2087|Calabar|200000-999999|
G|2088|Umuahia|200000-999999|
G|2089|Yenegoa|200000-999999|
